Date,Opponent,Location,H/A/N,Result,Team Score,Opponent Score,Conference Game
9/5/2001,Ithaca,,A,L,0,2,N
9/8/2001,ST. LAWRENCE,Oswego N.Y.,H,L,3,4,N
9/12/2001,HAMILTON,Oswego N.Y.,H,W,2,1,N
9/20/2001,Cortland,,A,L,0,4,Y
9/22/2001,NAZARETH,Oswego N.Y.,H,W,3,2,N
9/27/2001,Wells,,A,W,,,N
9/29/2001,New Paltz,,A,W,2,0,Y
9/30/2001,Manhattanville,,A,W,5,1,N
10/3/2001,HARTWICK,Oswego N.Y.,H,L,1,4,N
10/5/2001,UTICA,Oswego N.Y.,H,W,2,1,N
10/9/2001,GENESEO,Oswego N.Y.,H,L,3,4,Y
10/11/2001,University of Rochester,,A,L,1,2,N
10/13/2001,UNION,Oswego N.Y.,H,L,1,2,N
10/16/2001,Brockport,,A,L,0,1,Y
10/18/2001,ELMIRA,Oswego N.Y.,H,L,0,1,N
10/20/2001,ONEONTA,Oswego N.Y.,H,W,1,0,Y
10/24/2001,Ithaca,Oswego N.Y.,H,L,1,3,N
